"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types"
"1","La Liga","M","ESP",2020,"Alavés","team",32,38,537,14.13,333,88,28,36,46,6,58,1.53,31,8,4,6,8,1
"2","La Liga","M","ESP",2020,"Athletic Club","team",26,38,690,18.16,469,84,37,36,54,10,65,1.71,43,4,3,6,8,1
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",30,38,790,20.79,546,88,43,51,48,14,86,2.26,56,5,11,5,8,1
"4","La Liga","M","ESP",2020,"Barcelona","team",28,38,903,23.76,678,38,82,33,60,12,150,3.95,114,6,10,5,12,3
"5","La Liga","M","ESP",2020,"Betis","team",27,38,837,22.03,611,62,77,37,39,11,75,1.97,52,4,6,7,6,0
"6","La Liga","M","ESP",2020,"Celta Vigo","team",30,38,659,17.34,477,52,41,37,44,8,67,1.76,43,3,8,5,8,0
"7","La Liga","M","ESP",2020,"Eibar","team",26,38,709,18.66,450,97,40,55,48,19,63,1.66,38,7,5,6,7,0
"8","La Liga","M","ESP",2020,"Espanyol","team",31,38,691,18.18,469,82,37,45,50,8,44,1.16,26,5,2,6,3,2
"9","La Liga","M","ESP",2020,"Getafe","team",30,38,691,18.18,464,83,36,35,63,10,70,1.84,43,7,7,6,6,1
"10","La Liga","M","ESP",2020,"Granada","team",27,38,670,17.63,434,89,32,38,58,19,86,2.26,52,9,5,8,8,4
"11","La Liga","M","ESP",2020,"Leganés","team",29,38,752,19.79,509,87,44,48,57,7,54,1.42,38,4,2,3,6,1
"12","La Liga","M","ESP",2020,"Levante","team",29,38,746,19.63,547,71,48,35,37,8,79,2.08,52,4,6,8,9,0
"13","La Liga","M","ESP",2020,"Mallorca","team",32,38,742,19.53,510,78,51,38,57,8,64,1.68,41,1,6,5,10,1
