"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl_plus_Int","Clr","Err"
"1","La Liga","M","ESP",2021,"Alavés","team",30,38,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8
"2","La Liga","M","ESP",2021,"Athletic Club","team",27,38,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",25,38,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7
"4","La Liga","M","ESP",2021,"Barcelona","team",25,38,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16
"5","La Liga","M","ESP",2021,"Betis","team",25,38,556,315,274,221,61,211,556,37.9,345,362,74,288,453,1009,687,11
"6","La Liga","M","ESP",2021,"Celta Vigo","team",30,38,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12
"7","La Liga","M","ESP",2021,"Cádiz","team",34,38,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8
"8","La Liga","M","ESP",2021,"Eibar","team",30,38,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11
"9","La Liga","M","ESP",2021,"Elche","team",30,38,551,336,324,189,38,210,577,36.4,367,357,97,260,386,937,689,10
"10","La Liga","M","ESP",2021,"Getafe","team",31,38,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4
"11","La Liga","M","ESP",2021,"Granada","team",34,38,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7
"12","La Liga","M","ESP",2021,"Huesca","team",27,38,556,321,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7
"13","La Liga","M","ESP",2021,"Levante","team",29,38,511,282,268,188,55,208,543,38.3,335,335,93,242,435,946,681,15
"14","La Liga","M","ESP",2021,"Osasuna","team",28,38,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7
"15","La Liga","M","ESP",2021,"Real Madrid","team",30,38,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12
"16","La Liga","M","ESP",2021,"Real Sociedad","team",30,38,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5
"17","La Liga","M","ESP",2021,"Sevilla","team",26,38,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10
"18","La Liga","M","ESP",2021,"Valencia","team",30,38,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12
"19","La Liga","M","ESP",2021,"Valladolid","team",32,38,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9
"20","La Liga","M","ESP",2021,"Villarreal","team",29,38,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17
"21","La Liga","M","ESP",2021,"vs Alavés","opponent",30,38,469,279,197,215,57,213,467,45.6,254,309,89,220,342,811,623,12
"22","La Liga","M","ESP",2021,"vs Athletic Club","opponent",27,38,532,302,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6
"23","La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",25,38,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9
"24","La Liga","M","ESP",2021,"vs Barcelona","opponent",25,38,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8
"25","La Liga","M","ESP",2021,"vs Betis","opponent",25,38,585,335,286,244,55,218,638,34.2,420,407,129,278,367,952,611,12
"26","La Liga","M","ESP",2021,"vs Celta Vigo","opponent",30,38,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6
"27","La Liga","M","ESP",2021,"vs Cádiz","opponent",34,38,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10
"28","La Liga","M","ESP",2021,"vs Eibar","opponent",30,38,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7
"29","La Liga","M","ESP",2021,"vs Elche","opponent",30,38,598,347,216,281,101,253,618,40.9,365,327,57,270,405,1003,586,8
"30","La Liga","M","ESP",2021,"vs Getafe","opponent",31,38,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3
"31","La Liga","M","ESP",2021,"vs Granada","opponent",34,38,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9
"32","La Liga","M","ESP",2021,"vs Huesca","opponent",27,38,533,309,212,221,100,228,654,34.9,426,325,80,245,323,856,773,14
"33","La Liga","M","ESP",2021,"vs Levante","opponent",29,38,575,335,287,205,83,249,615,40.5,366,375,76,299,434,1009,638,8
"34","La Liga","M","ESP",2021,"vs Osasuna","opponent",28,38,505,309,252,195,58,195,440,44.3,245,312,79,233,338,843,694,7
"35","La Liga","M","ESP",2021,"vs Real Madrid","opponent",30,38,531,295,277,184,70,216,645,33.5,429,418,133,285,380,911,707,16
"36","La Liga","M","ESP",2021,"vs Real Sociedad","opponent",30,38,531,311,253,212,66,220,550,40,330,413,104,309,379,910,710,16
