"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"1","La Liga","M","ESP",2021,"Alavés","team",30,38,10216,14388,71,196775,86618,4463,5484,81.4,4016,5139,78.1,1482,2923,50.7,21,27.4,21,-6.4,256,789,189,82,938
"2","La Liga","M","ESP",2021,"Athletic Club","team",27,38,13578,17842,76.1,251137,91456,5873,6901,85.1,5483,6607,83,1792,3120,57.4,31,31.3,27.9,-0.3,303,1054,284,79,1496
"3","La Liga","M","ESP",2021,"Atlético Madrid","team",25,38,16757,20680,81,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604
"4","La Liga","M","ESP",2021,"Barcelona","team",25,38,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157
"5","La Liga","M","ESP",2021,"Betis","team",25,38,15814,19679,80.4,273398,94327,7403,8309,89.1,6096,7037,86.6,1672,3002,55.7,35,33.4,30.5,1.6,334,1048,298,80,1441
"6","La Liga","M","ESP",2021,"Celta Vigo","team",30,38,15176,19318,78.6,263065,91357,6912,7946,87,6117,7188,85.1,1552,2914,53.3,39,36.7,32,2.3,267,978,248,48,1308
"7","La Liga","M","ESP",2021,"Cádiz","team",34,38,7949,12067,65.9,158876,72248,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854
"8","La Liga","M","ESP",2021,"Eibar","team",30,38,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295
"9","La Liga","M","ESP",2021,"Elche","team",30,38,13481,17054,79,244074,94227,6028,6753,89.3,5307,6190,85.7,1652,3000,55.1,25,21.8,19.8,3.2,190,784,148,79,927
"10","La Liga","M","ESP",2021,"Getafe","team",31,38,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44,14,23.6,24,-9.6,261,863,225,102,1090
