"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","La Liga","M","ESP",2023,"Almería","team",3,38,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,40.2,356,51.7,42.6,642,40,6.2,28,0.74,14.5
"2","La Liga","M","ESP",2023,"Athletic Club","team",2,38,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,33.2,264,62.9,48.3,451,29,6.4,50,1.32,17.5
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",3,38,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2
"4","La Liga","M","ESP",2023,"Barcelona","team",2,38,20,3,0,2,3,25.1,0.22,8.1,0.21,169,338,50,1216,190,22.3,28.9,223,30,32.5,375,18,4.8,43,1.13,16.4
"5","La Liga","M","ESP",2023,"Betis","team",2,38,41,3,1,7,1,44,0.29,4,0.1,229,635,36.1,956,149,44,39.6,315,67.9,49.1,582,22,3.8,43,1.13,12.1
"6","La Liga","M","ESP",2023,"Celta Vigo","team",2,38,53,5,1,10,1,42.9,0.27,-9.1,-0.24,184,506,36.4,934,171,37.5,35.3,289,54,43.9,509,22,4.3,39,1.03,18.1
"7","La Liga","M","ESP",2023,"Cádiz","team",2,38,53,9,1,7,0,53.4,0.22,0.4,0.01,270,829,32.6,916,150,59.1,46.4,322,89.4,64.2,651,44,6.8,30,0.79,13.6
"8","La Liga","M","ESP",2023,"Elche","team",2,38,67,7,0,6,2,71.9,0.31,6.9,0.18,195,442,44.1,819,175,33.8,34.9,318,51.9,40.9,600,22,3.7,21,0.55,14
"9","La Liga","M","ESP",2023,"Espanyol","team",4,38,69,5,1,9,2,54.5,0.27,-12.5,-0.33,305,659,46.3,865,122,49.7,36.2,347,66,48,557,27,4.8,46,1.21,13.8
"10","La Liga","M","ESP",2023,"Getafe","team",1,38,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15
"11","La Liga","M","ESP",2023,"Girona","team",2,38,55,6,2,5,0,62,0.33,7,0.18,169,464,36.4,1075,192,28.4,32.4,329,48.3,41.9,597,43,7.2,59,1.55,15.1
"12","La Liga","M","ESP",2023,"Mallorca","team",3,38,43,6,0,3,0,41.5,0.24,-1.5,-0.04,351,841,41.7,950,130,61.9,54.9,338,74.9,54,657,35,5.3,21,0.55,4
"13","La Liga","M","ESP",2023,"Osasuna","team",2,38,42,1,1,3,2,39.1,0.26,-0.9,-0.02,342,789,43.3,1084,145,53.4,41.1,315,66.7,50.8,534,30,5.6,57,1.5,16.3
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",2,38,53,4,0,11,4,45.9,0.3,-3.1,-0.08,154,545,28.3,834,204,44.5,38.6,310,56.1,46.5,512,24,4.7,54,1.42,16.1
"15","La Liga","M","ESP",2023,"Real Madrid","team",2,38,36,4,0,2,1,34.2,0.22,-0.8,-0.02,97,241,40.2,1108,230,17.7,23.3,253,17.8,25,420,33,7.9,51,1.34,21.7
"16","La Liga","M","ESP",2023,"Real Sociedad","team",1,38,35,1,1,3,2,32.8,0.24,-0.2,0,244,572,42.7,1062,138,40.9,35.9,244,56.6,46.2,453,18,4,47,1.24,15.9
"17","La Liga","M","ESP",2023,"Sevilla","team",2,38,54,2,1,5,3,49.5,0.3,-1.5,-0.04,218,629,34.7,1143,136,38,44,307,63.5,49.3,524,32,6.1,49,1.29,12.2
"18","La Liga","M","ESP",2023,"Valencia","team",1,38,45,2,0,7,2,42.9,0.28,-0.1,0,177,522,33.9,806,142,42.7,35.1,276,64.5,48.1,457,35,7.7,47,1.24,16.3
"19","La Liga","M","ESP",2023,"Valladolid","team",3,38,63,6,1,0,1,62.6,0.28,0.6,0.02,192,553,34.7,963,170,38.3,35.8,358,51.4,41.9,563,20,3.6,33,0.87,16.1
"20","La Liga","M","ESP",2023,"Villarreal","team",3,38,40,4,0,4,1,43.7,0.27,4.7,0.12,114,330,34.5,1159,191,21.7,28.8,293,26.6,29.1,548,37,6.8,45,1.18,15.5
"21","La Liga","M","ESP",2023,"vs Almería","opponent",3,38,49,2,1,11,0,43.2,0.27,-5.8,-0.15,187,493,37.9,931,166,36.8,35.4,267,56.2,45,453,36,7.9,50,1.32,16.4
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",2,38,47,5,1,2,1,52,0.28,6,0.16,271,721,37.6,1128,211,44.9,37.7,363,59,46.8,703,44,6.3,43,1.13,13.5
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",3,38,70,1,0,8,2,62.5,0.32,-5.5,-0.14,199,468,42.5,1002,189,33.1,34.2,298,45.6,40.7,497,32,6.4,66,1.74,15.6
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",2,38,70,0,0,4,1,63.6,0.34,-5.4,-0.14,287,724,39.6,923,149,52.2,41.2,387,62.5,47,561,26,4.6,50,1.32,15.5
"25","La Liga","M","ESP",2023,"vs Betis","opponent",2,38,46,8,1,5,3,48.6,0.27,5.6,0.15,186,449,41.4,944,160,33.3,33.5,271,49.8,42.6,400,17,4.3,37,0.97,16.7
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",2,38,43,2,0,3,2,42.7,0.25,1.7,0.04,208,523,39.8,950,142,37.8,36.3,279,58.8,45.2,559,29,5.2,26,0.68,12.5
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",2,38,30,4,0,1,1,32.7,0.26,3.7,0.1,219,518,42.3,948,194,36.7,34.5,323,52.6,42.6,519,39,7.5,55,1.45,15.3
"28","La Liga","M","ESP",2023,"vs Elche","opponent",2,38,30,4,0,7,0,33.4,0.23,3.4,0.09,202,487,41.5,898,133,34.7,34,284,61.6,46.4,581,26,4.5,29,0.76,13.1
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",4,38,52,5,0,9,1,50.2,0.29,-0.8,-0.02,199,501,39.7,937,195,35.9,35.2,310,53.2,42.2,542,38,7,33,0.87,13.4
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",1,38,34,5,2,2,0,36.4,0.25,2.4,0.06,217,582,37.3,1110,169,39.1,36.2,250,59.2,46.4,512,32,6.3,51,1.34,16.6
"31","La Liga","M","ESP",2023,"vs Girona","opponent",2,38,58,8,0,3,3,51.2,0.25,-3.8,-0.1,219,563,38.9,925,133,41.3,36.9,292,62,47.7,568,27,4.8,37,0.97,14.8
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",3,38,37,4,0,7,1,32.3,0.25,-3.7,-0.1,156,454,34.4,857,183,34.1,33.8,235,68.9,50,486,32,6.6,37,0.97,13.9
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",2,38,37,4,0,4,1,36.6,0.24,0.6,0.02,197,564,34.9,1096,178,35.7,34.4,325,53.2,43.6,649,45,6.9,49,1.29,15.1
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",2,38,45,4,2,4,4,38,0.21,-3,-0.08,253,634,39.9,1048,159,41.1,37.5,329,61.7,47.8,622,26,4.2,51,1.34,17.6
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",2,38,75,9,3,9,2,67.6,0.27,-5.4,-0.14,237,594,39.9,864,152,42.8,38.1,351,63.8,48.2,448,27,6,21,0.55,12.2
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",1,38,51,2,1,4,4,53.4,0.29,6.4,0.17,221,736,30,1144,158,46.7,39.4,301,67.1,49.9,422,29,6.9,40,1.05,16.1
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",2,38,47,4,0,7,0,43.2,0.28,-3.8,-0.1,202,590,34.2,991,176,40.7,36.3,327,57.2,44.2,649,28,4.3,39,1.03,13.8
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",1,38,42,5,1,3,2,46.9,0.28,6.9,0.18,217,594,36.5,951,159,44,37.7,323,54.5,44.8,701,42,6,35,0.92,12.8
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",3,38,33,3,0,4,1,34.2,0.22,2.2,0.06,250,605,41.3,902,152,43.6,37.8,323,65.6,49.9,527,18,3.4,45,1.18,17.1
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",3,38,59,4,1,5,2,60,0.29,3,0.08,233,548,42.5,850,148,42.9,37.8,300,61,47.4,394,22,5.6,41,1.08,14.9
