"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty_Kicks","PKA_Penalty_Kicks","PKsv_Penalty_Kicks","PKm_Penalty_Kicks","Save_percent_Penalty_Kicks"
"1","La Liga","M","ESP",2023,"Almería","team",3,38,38,3420,38,65,1.71,203,138,70,11,8,19,4,10.5,6,4,1,1,20
"2","La Liga","M","ESP",2023,"Athletic Club","team",2,38,38,3420,38,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0
"3","La Liga","M","ESP",2023,"Atlético Madrid","team",3,38,38,3420,38,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0
"4","La Liga","M","ESP",2023,"Barcelona","team",2,38,38,3420,38,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0
"5","La Liga","M","ESP",2023,"Betis","team",2,38,38,3420,38,41,1.08,146,106,74,17,9,12,13,34.2,3,3,0,0,0
"6","La Liga","M","ESP",2023,"Celta Vigo","team",2,38,38,3420,38,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6
"7","La Liga","M","ESP",2023,"Cádiz","team",2,38,38,3420,38,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10
"8","La Liga","M","ESP",2023,"Elche","team",2,38,38,3420,38,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30
"9","La Liga","M","ESP",2023,"Espanyol","team",4,38,38,3419,38,69,1.82,183,115,65,8,13,17,6,15.8,6,5,1,0,16.7
"10","La Liga","M","ESP",2023,"Getafe","team",1,38,38,3420,38,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50
"11","La Liga","M","ESP",2023,"Girona","team",2,38,38,3420,38,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3
"12","La Liga","M","ESP",2023,"Mallorca","team",3,38,38,3420,38,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3
"13","La Liga","M","ESP",2023,"Osasuna","team",2,38,38,3420,38,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50
"14","La Liga","M","ESP",2023,"Rayo Vallecano","team",2,38,38,3420,38,53,1.39,144,95,66,13,10,15,9,23.7,5,4,0,1,0
"15","La Liga","M","ESP",2023,"Real Madrid","team",2,38,38,3420,38,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20
"16","La Liga","M","ESP",2023,"Real Sociedad","team",1,38,38,3420,38,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50
"17","La Liga","M","ESP",2023,"Sevilla","team",2,38,38,3420,38,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3
"18","La Liga","M","ESP",2023,"Valencia","team",1,38,38,3420,38,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0
"19","La Liga","M","ESP",2023,"Valladolid","team",3,38,38,3420,38,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3
"20","La Liga","M","ESP",2023,"Villarreal","team",3,38,38,3420,38,40,1.05,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0
"21","La Liga","M","ESP",2023,"vs Almería","opponent",3,38,38,3420,38,49,1.29,157,108,70.1,19,8,11,10,26.3,3,2,0,1,0
"22","La Liga","M","ESP",2023,"vs Athletic Club","opponent",2,38,38,3420,38,47,1.24,164,116,74.4,15,9,14,16,42.1,7,5,2,0,28.6
"23","La Liga","M","ESP",2023,"vs Atlético Madrid","opponent",3,38,38,3420,38,70,1.84,196,128,64.8,7,8,23,5,13.2,1,1,0,0,0
"24","La Liga","M","ESP",2023,"vs Barcelona","opponent",2,38,38,3420,38,70,1.84,187,118,62.6,6,4,28,4,10.5,2,0,0,2,NA
"25","La Liga","M","ESP",2023,"vs Betis","opponent",2,38,38,3420,38,46,1.21,147,103,74.1,12,9,17,13,34.2,9,8,1,0,11.1
"26","La Liga","M","ESP",2023,"vs Celta Vigo","opponent",2,38,38,3420,38,43,1.13,163,121,74.8,17,10,11,10,26.3,3,2,1,0,33.3
"27","La Liga","M","ESP",2023,"vs Cádiz","opponent",2,38,38,3420,38,30,0.79,112,83,76.8,16,12,10,17,44.7,5,4,0,1,0
"28","La Liga","M","ESP",2023,"vs Elche","opponent",2,38,38,3420,38,30,0.79,129,98,79.8,23,10,5,16,42.1,5,4,1,0,20
"29","La Liga","M","ESP",2023,"vs Espanyol","opponent",4,38,38,3420,38,52,1.37,156,105,69.9,17,13,8,4,10.5,5,5,0,0,0
"30","La Liga","M","ESP",2023,"vs Getafe","opponent",1,38,38,3420,38,34,0.89,123,87,76.4,16,12,10,14,36.8,8,5,2,1,28.6
"31","La Liga","M","ESP",2023,"vs Girona","opponent",2,38,38,3420,38,58,1.53,169,113,70.4,15,10,13,8,21.1,9,8,1,0,11.1
"32","La Liga","M","ESP",2023,"vs Mallorca","opponent",3,38,38,3420,38,37,0.97,112,75,70.5,16,8,14,13,34.2,5,4,1,0,20
"33","La Liga","M","ESP",2023,"vs Osasuna","opponent",2,38,38,3420,38,37,0.97,137,101,75.9,15,8,15,15,39.5,5,4,0,1,0
"34","La Liga","M","ESP",2023,"vs Rayo Vallecano","opponent",2,38,38,3420,38,45,1.18,153,109,73.2,15,10,13,10,26.3,8,4,3,1,42.9
"35","La Liga","M","ESP",2023,"vs Real Madrid","opponent",2,38,38,3419,38,75,1.97,217,142,69.6,8,6,24,5,13.2,12,9,2,1,18.2
"36","La Liga","M","ESP",2023,"vs Real Sociedad","opponent",1,38,38,3420,38,51,1.34,177,128,72.3,9,8,21,9,23.7,4,2,2,0,50
"37","La Liga","M","ESP",2023,"vs Sevilla","opponent",2,38,38,3420,38,47,1.24,145,98,70.3,15,10,13,7,18.4,5,4,0,1,0
"38","La Liga","M","ESP",2023,"vs Valencia","opponent",1,38,38,3420,38,42,1.11,147,105,74.8,18,9,11,12,31.6,8,5,2,1,28.6
"39","La Liga","M","ESP",2023,"vs Valladolid","opponent",3,38,38,3420,38,33,0.87,141,108,78.7,20,7,11,18,47.4,4,3,1,0,25
"40","La Liga","M","ESP",2023,"vs Villarreal","opponent",3,38,38,3420,38,59,1.55,194,135,71.6,12,7,19,9,23.7,7,4,2,1,33.3
