"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","La Liga","M","ESP",2024,"Alavés","team",30,41.8,38,18179,2162,6122,7564,4706,764,18172,625,310,49.6,254,40.6,8574,48049,25494,550,364,138,572,299,9972,1252
"2","La Liga","M","ESP",2024,"Almería","team",35,46.4,38,20902,2654,7711,9323,4094,614,20900,667,299,44.8,314,47.1,11128,59196,30444,590,424,132,550,269,12660,1082
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,49.8,38,22845,1965,6376,10617,6083,901,22839,743,338,45.5,349,47,12487,65998,34507,735,528,193,571,366,14367,1596
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,50.8,38,24749,2368,7880,11405,5662,954,24743,567,297,52.4,227,40,14402,72549,38491,758,546,181,533,303,16931,1580
"5","La Liga","M","ESP",2024,"Barcelona","team",29,64.3,38,28717,2191,7360,14262,7313,1077,28710,826,384,46.5,338,40.9,17768,96311,54148,964,728,262,605,305,21296,1911
"6","La Liga","M","ESP",2024,"Betis","team",35,50.4,38,23335,2339,7497,10512,5555,886,23332,793,386,48.7,329,41.5,13053,68844,34142,676,495,186,626,427,15184,1424
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,46.1,38,22062,2314,7084,9675,5538,818,22057,646,295,45.7,291,45,12540,63894,32693,660,489,162,600,336,13773,1332
"8","La Liga","M","ESP",2024,"Cádiz","team",34,43.3,38,19166,2242,6375,8425,4551,570,19163,537,230,42.8,263,49,9664,52345,25428,456,422,76,571,343,10662,996
"9","La Liga","M","ESP",2024,"Getafe","team",33,44.8,38,19243,2020,5619,8971,4848,684,19236,552,239,43.3,261,47.3,9360,49101,24618,439,385,122,576,281,10603,1124
"10","La Liga","M","ESP",2024,"Girona","team",25,56.9,38,25779,2695,8432,11583,5985,977,25771,745,353,47.4,297,39.9,16055,90323,46626,894,599,234,584,376,18610,1673
"11","La Liga","M","ESP",2024,"Granada","team",40,45.6,38,20152,2413,7720,8677,3997,667,20144,658,303,46,296,45,10969,57198,28813,512,379,112,600,305,12010,1030
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,59.2,38,27041,2667,9077,12876,5282,614,27036,680,316,46.5,308,45.3,15544,71689,36286,577,459,116,645,365,18955,1573
"13","La Liga","M","ESP",2024,"Mallorca","team",25,45,38,19767,2279,6620,8961,4390,672,19764,511,251,49.1,219,42.9,9848,53864,26398,498,377,108,566,313,11353,1155
"14","La Liga","M","ESP",2024,"Osasuna","team",29,47.5,38,21181,2147,6244,9526,5586,720,21176,530,237,44.7,247,46.6,10522,54022,25894,501,408,97,540,283,12730,1306
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,49.4,38,21757,2306,7210,9672,5091,669,21751,653,283,43.3,306,46.9,10906,56132,26844,506,368,116,634,373,13171,1327
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,59.2,38,28670,2455,7880,13241,7813,1156,28665,889,401,45.1,393,44.2,18483,97637,52448,950,802,315,480,312,21642,1923
