"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"1","La Liga","M","ESP",2024,"Alavés","team",30,38,33,458,136,29.7,12.05,3.58,0.07,0.22,17.7,15,3,7,46.2,40.7,0.09,-13.2,-10.7
"2","La Liga","M","ESP",2024,"Almería","team",35,38,42,478,163,34.1,12.58,4.29,0.08,0.25,18.8,18,2,2,48.7,47.1,0.1,-6.7,-7.1
"3","La Liga","M","ESP",2024,"Athletic Club","team",27,38,59,458,163,35.6,12.05,4.29,0.12,0.34,15.9,7,3,5,52.7,48.7,0.11,6.3,7.3
"4","La Liga","M","ESP",2024,"Atlético Madrid","team",27,38,68,475,197,41.5,12.5,5.18,0.13,0.32,16.2,9,5,6,62.4,57.9,0.12,5.6,5.1
"5","La Liga","M","ESP",2024,"Barcelona","team",29,38,76,588,219,37.2,15.47,5.76,0.12,0.32,16.5,21,6,7,77.6,72.1,0.13,-1.6,-2.1
"6","La Liga","M","ESP",2024,"Betis","team",35,38,46,489,150,30.7,12.87,3.95,0.09,0.29,17.2,15,2,3,43.9,41.7,0.09,2.1,2.3
"7","La Liga","M","ESP",2024,"Celta Vigo","team",31,38,45,467,151,32.3,12.29,3.97,0.09,0.28,17.5,14,3,5,50.7,46.9,0.1,-5.7,-4.9
"8","La Liga","M","ESP",2024,"Cádiz","team",34,38,25,395,120,30.4,10.39,3.16,0.06,0.18,18.4,21,3,3,36,33.6,0.09,-11,-11.6
"9","La Liga","M","ESP",2024,"Getafe","team",33,38,42,446,150,33.6,11.74,3.95,0.08,0.24,18.6,14,6,7,45.7,40.2,0.09,-3.7,-4.2
"10","La Liga","M","ESP",2024,"Girona","team",25,38,84,476,178,37.4,12.53,4.68,0.16,0.43,16.4,13,7,8,70.8,64.6,0.14,13.2,12.4
"11","La Liga","M","ESP",2024,"Granada","team",40,38,35,394,123,31.2,10.37,3.24,0.08,0.24,17.8,15,5,8,42.6,36.4,0.09,-7.6,-6.4
"12","La Liga","M","ESP",2024,"Las Palmas","team",29,38,33,386,120,31.1,10.16,3.16,0.08,0.25,20.1,21,3,5,33.2,29.2,0.08,-0.2,0.8
"13","La Liga","M","ESP",2024,"Mallorca","team",25,38,33,415,131,31.6,10.92,3.45,0.08,0.24,16.8,4,1,3,40.5,38.2,0.09,-7.5,-6.2
"14","La Liga","M","ESP",2024,"Osasuna","team",29,38,45,421,124,29.5,11.08,3.26,0.1,0.33,17.9,14,4,5,40.5,36.6,0.09,4.5,4.4
"15","La Liga","M","ESP",2024,"Rayo Vallecano","team",26,38,29,487,160,32.9,12.82,4.21,0.05,0.14,20.8,47,6,6,42.3,37.7,0.08,-13.3,-14.7
"16","La Liga","M","ESP",2024,"Real Madrid","team",27,38,85,593,242,40.8,15.61,6.37,0.14,0.34,17.5,24,2,5,68.8,65.2,0.11,16.2,17.8
"17","La Liga","M","ESP",2024,"Real Sociedad","team",31,38,48,457,147,32.2,12.03,3.87,0.1,0.3,17.8,24,4,4,44.9,41.8,0.09,3.1,2.2
"18","La Liga","M","ESP",2024,"Sevilla","team",35,38,46,487,160,32.9,12.82,4.21,0.09,0.28,17.5,15,2,2,44.9,43.3,0.09,1.1,0.7
"19","La Liga","M","ESP",2024,"Valencia","team",29,38,39,368,123,33.4,9.68,3.24,0.08,0.25,18.7,16,8,9,43.1,36.2,0.1,-4.1,-5.2
"20","La Liga","M","ESP",2024,"Villarreal","team",32,38,64,462,163,35.3,12.16,4.29,0.13,0.36,16.2,8,5,7,55.6,50.1,0.11,8.4,8.9
"21","La Liga","M","ESP",2024,"vs Alavés","opponent",30,38,44,444,139,31.3,11.68,3.66,0.08,0.26,17.9,15,8,8,44.7,38.5,0.09,-0.7,-2.5
"22","La Liga","M","ESP",2024,"vs Almería","opponent",35,38,75,584,195,33.4,15.37,5.13,0.12,0.35,16.9,18,6,9,61.6,54.5,0.09,13.4,14.5
"23","La Liga","M","ESP",2024,"vs Athletic Club","opponent",27,38,33,405,130,32.1,10.66,3.42,0.08,0.25,18.3,18,1,5,41.3,37.5,0.09,-8.3,-5.5
"24","La Liga","M","ESP",2024,"vs Atlético Madrid","opponent",27,38,43,451,143,31.7,11.87,3.76,0.09,0.29,17.9,9,1,2,39.5,37.9,0.09,3.5,4.1
"25","La Liga","M","ESP",2024,"vs Barcelona","opponent",29,38,44,411,139,33.8,10.82,3.66,0.1,0.3,17.4,8,2,2,41.6,40.1,0.1,2.4,1.9
"26","La Liga","M","ESP",2024,"vs Betis","opponent",35,38,42,441,150,34,11.61,3.95,0.08,0.23,18.2,18,7,8,50.2,44,0.1,-8.2,-9
