id,Team_or_Opponent,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl_plus_Int,Clr,Err,team_id,season_id
1,team,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7,102,0
2,team,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7,6,0
3,team,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18,7,0
4,team,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16,10,0
5,team,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8,12,0
6,team,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12,19,0
7,team,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8,101,0
8,team,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17,29,0
9,team,580,341,235,263,82,235,573,41.0,338,374,60,314,367,947,625,12,34,0
10,team,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10,100,0
11,team,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7,98,0
12,team,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14,99,0
13,team,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9,54,0
14,team,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19,67,0
15,team,586,355,252,253,81,226,595,38.0,369,367,77,290,381,967,590,13,71,0
16,team,551,321,254,224,73,252,573,44.0,321,346,79,267,320,871,694,12,72,0
17,team,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10,80,0
18,team,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12,91,0
19,team,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13,92,0
20,team,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12,93,0
21,opponent,555,347,228,258,69,246,497,49.5,251,291,66,225,329,884,584,10,102,0
22,opponent,549,313,270,222,57,250,587,42.6,337,330,85,245,327,876,704,15,6,0
23,opponent,572,355,292,224,56,195,543,35.9,348,342,112,230,384,956,709,12,7,0
24,opponent,623,361,351,202,70,269,793,33.9,524,430,117,313,525,1148,575,12,10,0
25,opponent,623,374,301,251,71,268,713,37.6,445,369,108,261,364,987,644,13,12,0
26,opponent,615,348,253,275,87,240,610,39.3,370,401,88,313,384,999,646,14,19,0
27,opponent,553,331,293,218,42,198,458,43.2,260,328,97,231,342,895,923,17,101,0
28,opponent,539,305,265,217,57,208,489,42.5,281,319,107,212,367,906,787,9,29,0
29,opponent,520,292,307,174,39,202,476,42.4,274,384,100,284,384,904,852,13,34,0
30,opponent,543,302,267,206,70,253,553,45.8,300,335,99,236,333,876,665,13,100,0
31,opponent,530,339,260,214,56,239,581,41.1,342,324,100,224,332,862,850,6,98,0
32,opponent,553,349,242,226,85,251,637,39.4,386,385,112,273,321,874,662,7,99,0
33,opponent,670,393,315,277,78,317,709,44.7,392,352,94,258,383,1053,690,8,54,0
34,opponent,516,316,234,218,64,210,525,40.0,315,345,91,254,406,922,776,18,67,0
35,opponent,600,352,302,216,82,285,769,37.1,484,367,101,266,374,974,777,14,71,0
36,opponent,591,359,268,260,63,234,589,39.7,355,421,108,313,409,1000,708,9,72,0
37,opponent,606,380,304,226,76,254,667,38.1,413,385,109,276,430,1036,810,15,80,0
38,opponent,486,288,207,201,78,203,548,37.0,345,274,74,200,372,858,634,11,91,0
39,opponent,555,331,240,224,91,231,569,40.6,338,337,93,244,300,855,613,11,92,0
40,opponent,569,337,257,229,83,259,690,37.5,431,353,106,247,369,938,616,9,93,0
1,team,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8,102,1
1,team,499,292,263,181,55,197,565,34.9,368,341,90,251,427,926,766,8,102,-2
2,team,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9,6,1
2,team,462,269,194,200,68,168,516,32.6,348,341,74,267,344,806,684,9,6,-2
3,team,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,7,1
3,team,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,7,-2
4,team,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,10,1
4,team,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,10,-2
5,team,556,315,274,221,61,211,556,37.9,345,362,74,288,453,1009,687,11,12,1
5,team,556,315,274,221,61,211,556,37.9,345,362,74,288,453,1009,687,11,12,-2
6,team,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12,19,1
6,team,662,368,332,259,71,238,694,34.3,456,399,89,310,405,1067,751,12,19,-2
7,team,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8,24,1
7,team,573,317,305,216,52,247,607,40.7,360,368,99,269,437,1010,788,8,24,-2
8,team,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11,101,1
8,team,514,309,228,204,82,203,518,39.2,315,360,63,297,434,948,593,11,101,-2
9,team,551,336,324,189,38,210,577,36.4,367,357,97,260,386,937,689,10,27,1
9,team,551,336,324,189,38,210,577,36.4,367,357,97,260,386,937,689,10,27,-2
10,team,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4,34,1
10,team,579,352,232,276,71,241,619,38.9,378,361,53,308,393,972,615,4,34,-2
11,team,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7,100,1
11,team,499,279,226,213,60,185,468,39.5,283,388,128,260,392,891,764,7,100,-2
12,team,556,321,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7,103,1
12,team,556,321,309,191,56,239,579,41.3,340,342,83,259,437,993,616,7,103,-2
13,team,511,282,268,188,55,208,543,38.3,335,335,93,242,435,946,681,15,99,1
13,team,511,282,268,188,55,208,543,38.3,335,335,93,242,435,946,681,15,99,-2
14,team,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7,67,1
14,team,524,281,223,217,84,224,552,40.6,328,349,100,249,392,916,774,7,67,-2
15,team,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12,71,1
15,team,531,318,266,188,77,192,532,36.1,340,344,83,261,398,929,544,12,71,-2
16,team,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5,72,1
16,team,547,322,240,227,80,200,480,41.7,280,353,96,257,315,862,563,5,72,-2
17,team,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10,80,1
17,team,492,297,220,200,72,184,510,36.1,326,310,90,220,362,854,636,10,80,-2
18,team,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12,91,1
18,team,463,277,241,163,59,198,592,33.4,394,372,123,249,392,855,785,12,91,-2
19,team,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9,92,1
19,team,559,321,285,208,66,247,681,36.3,434,379,102,277,431,990,812,9,92,-2
20,team,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17,93,1
20,team,539,313,256,205,78,239,588,40.6,349,358,101,257,371,910,638,17,93,-2
21,opponent,469,279,197,215,57,213,467,45.6,254,309,89,220,342,811,623,12,102,1
21,opponent,469,279,197,215,57,213,467,45.6,254,309,89,220,342,811,623,12,102,-2
22,opponent,532,302,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6,6,1
22,opponent,532,302,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6,6,-2
23,opponent,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9,7,1
23,opponent,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9,7,-2
24,opponent,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8,10,1
24,opponent,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8,10,-2
25,opponent,585,335,286,244,55,218,638,34.2,420,407,129,278,367,952,611,12,12,1
25,opponent,585,335,286,244,55,218,638,34.2,420,407,129,278,367,952,611,12,12,-2
26,opponent,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6,19,1
26,opponent,468,288,183,204,81,189,465,40.6,276,344,76,268,489,957,522,6,19,-2
27,opponent,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10,24,1
27,opponent,486,300,217,199,70,192,513,37.4,321,244,41,203,302,788,660,10,24,-2
28,opponent,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7,101,1
28,opponent,519,319,285,196,38,199,519,38.3,320,359,98,261,406,925,933,7,101,-2
29,opponent,598,347,216,281,101,253,618,40.9,365,327,57,270,405,1003,586,8,27,1
29,opponent,598,347,216,281,101,253,618,40.9,365,327,57,270,405,1003,586,8,27,-2
30,opponent,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3,34,1
30,opponent,574,313,339,196,39,220,483,45.5,263,352,88,264,390,964,838,3,34,-2
31,opponent,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9,100,1
31,opponent,550,313,265,227,58,204,516,39.5,312,363,78,285,359,909,613,9,100,-2
32,opponent,533,309,212,221,100,228,654,34.9,426,325,80,245,323,856,773,14,103,1
32,opponent,533,309,212,221,100,228,654,34.9,426,325,80,245,323,856,773,14,103,-2
33,opponent,575,335,287,205,83,249,615,40.5,366,375,76,299,434,1009,638,8,99,1
33,opponent,575,335,287,205,83,249,615,40.5,366,375,76,299,434,1009,638,8,99,-2
34,opponent,505,309,252,195,58,195,440,44.3,245,312,79,233,338,843,694,7,67,1
34,opponent,505,309,252,195,58,195,440,44.3,245,312,79,233,338,843,694,7,67,-2
35,opponent,531,295,277,184,70,216,645,33.5,429,418,133,285,380,911,707,16,71,1
35,opponent,531,295,277,184,70,216,645,33.5,429,418,133,285,380,911,707,16,71,-2
36,opponent,531,311,253,212,66,220,550,40.0,330,413,104,309,379,910,710,16,72,1
36,opponent,531,311,253,212,66,220,550,40.0,330,413,104,309,379,910,710,16,72,-2
37,opponent,516,306,255,196,65,207,599,34.6,392,325,87,238,407,923,635,13,80,1
37,opponent,516,306,255,196,65,207,599,34.6,392,325,87,238,407,923,635,13,80,-2
38,opponent,480,295,210,198,72,212,553,38.3,341,332,93,239,391,871,540,9,91,1
38,opponent,480,295,210,198,72,212,553,38.3,341,332,93,239,391,871,540,9,91,-2
39,opponent,541,314,256,206,79,213,504,42.3,291,311,74,237,368,909,701,12,92,1
39,opponent,541,314,256,206,79,213,504,42.3,291,311,74,237,368,909,701,12,92,-2
40,opponent,591,324,280,223,88,255,692,36.8,437,394,94,300,416,1007,617,12,93,1
40,opponent,591,324,280,223,88,255,692,36.8,437,394,94,300,416,1007,617,12,93,-2
1,team,550,324,271,221,58,262,637,41.1,375,373,106,267,376,926,890,7,102,2
2,team,508,292,217,216,75,224,582,38.5,358,411,128,283,339,847,788,8,6,2
