id,Team_or_Opponent,SCA_SCA,SCA90_SCA,PassLive_SCA_Types,PassDead_SCA_Types,TO_SCA_Types,Sh_SCA_Types,Fld_SCA_Types,Def_SCA_Types,GCA_GCA,GCA90_GCA,PassLive_GCA_Types,PassDead_GCA_Types,TO_GCA_Types,Sh_GCA_Types,Fld_GCA_Types,Def_GCA_Types,team_id,season_id
1,team,537,14.13,333,88,28,36,46,6,58,1.53,31,8,4,6,8,1,102,0
2,team,690,18.16,469,84,37,36,54,10,65,1.71,43,4,3,6,8,1,6,0
3,team,790,20.79,546,88,43,51,48,14,86,2.26,56,5,11,5,8,1,7,0
4,team,903,23.76,678,38,82,33,60,12,150,3.95,114,6,10,5,12,3,10,0
5,team,837,22.03,611,62,77,37,39,11,75,1.97,52,4,6,7,6,0,12,0
6,team,659,17.34,477,52,41,37,44,8,67,1.76,43,3,8,5,8,0,19,0
7,team,709,18.66,450,97,40,55,48,19,63,1.66,38,7,5,6,7,0,101,0
8,team,691,18.18,469,82,37,45,50,8,44,1.16,26,5,2,6,3,2,29,0
9,team,691,18.18,464,83,36,35,63,10,70,1.84,43,7,7,6,6,1,34,0
10,team,670,17.63,434,89,32,38,58,19,86,2.26,52,9,5,8,8,4,100,0
11,team,752,19.79,509,87,44,48,57,7,54,1.42,38,4,2,3,6,1,98,0
12,team,746,19.63,547,71,48,35,37,8,79,2.08,52,4,6,8,9,0,99,0
13,team,742,19.53,510,78,51,38,57,8,64,1.68,41,1,6,5,10,1,54,0
14,team,783,20.61,553,94,40,42,42,12,73,1.92,49,9,4,5,5,1,67,0
15,team,1021,26.87,780,68,73,46,42,12,125,3.29,90,7,7,5,15,1,71,0
16,team,744,19.58,550,70,34,40,39,11,92,2.42,69,6,4,6,2,5,72,0
17,team,873,22.97,636,90,51,42,42,12,89,2.34,58,8,10,5,8,0,80,0
18,team,612,16.11,445,53,39,22,43,10,80,2.11,56,5,8,2,9,0,91,0
19,team,647,17.03,453,47,46,31,58,12,53,1.39,34,2,4,6,7,0,92,0
20,team,864,22.74,642,66,60,44,37,15,108,2.84,71,5,10,10,11,1,93,0
21,opponent,833,21.92,582,83,43,46,68,11,103,2.71,78,2,5,7,10,1,102,0
22,opponent,697,18.34,482,70,44,32,55,14,65,1.71,43,3,6,4,7,2,6,0
