id,Team_or_Opponent,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxGPlus_Minus_Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att (GK)_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal_Kicks,Launch_percent_Goal_Kicks,AvgLen_Goal_Kicks,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,team_id,season_id,Mins_Per_90
1,team,59,12,3,3,0,56.6,0.27,-2.4,-0.06,375,828,45.3,783,103,66.0,46.1,344,90.4,58.6,527,12,2.3,15,0.39,9.1,102,0,
2,team,38,5,2,2,2,39.8,0.28,3.8,0.1,345,817,42.2,976,172,56.5,41.4,298,89.3,60.9,547,26,4.8,20,0.53,10.0,6,0,
3,team,27,3,1,4,3,29.8,0.24,5.8,0.15,233,592,39.4,637,112,56.4,30.2,320,72.8,50.0,533,12,2.3,12,0.32,,7,0,
4,team,38,6,2,1,0,36.5,0.26,-1.5,-0.04,127,249,51.0,1237,182,15.4,25.7,254,22.8,27.8,401,19,4.7,43,1.13,15.2,10,0,
5,team,60,11,1,4,1,54.8,0.29,-4.2,-0.11,158,464,34.1,1045,171,34.1,33.0,284,38.0,35.5,524,12,2.3,59,1.55,17.8,12,0,
6,team,49,5,3,3,0,45.8,0.28,-3.2,-0.08,202,576,35.1,784,136,44.5,30.1,339,67.0,49.1,604,20,3.3,16,0.42,16.0,19,0,
7,team,56,4,2,3,1,52.2,0.35,-2.8,-0.07,297,896,33.1,882,93,72.3,51.6,268,96.3,70.6,471,26,5.5,77,2.03,17.9,101,0,
8,team,58,6,0,4,2,54.4,0.31,-1.6,-0.04,228,688,33.1,895,133,52.5,31.1,316,69.0,49.6,495,29,5.9,51,1.35,7.8,29,0,
9,team,37,5,0,2,2,38.3,0.3,3.3,0.09,359,970,37.0,880,46,83.4,52.7,259,91.1,58.5,383,20,5.2,69,1.82,18.1,34,0,
10,team,45,4,1,5,0,45.9,0.27,0.9,0.02,329,899,36.6,1074,137,60.1,43.1,325,78.2,55.1,538,27,5.0,68,1.79,16.6,100,0,
