id,Competition_Name,Gender,Country,Team_or_Opponent,MP_Playing_Time,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty_Kicks,PKA_Penalty_Kicks,PKsv_Penalty_Kicks,PKm_Penalty_Kicks,Save_percent_Penalty_Kicks,team_id,season_id
1,La Liga,M,ESP,team,38,38,3418,38,59,1.55,161,99,70.8,10,9,19,9,23.7,15,12,3,0,20.0,102,0
2,La Liga,M,ESP,team,38,38,3416,38,38,1.0,128,92,74.2,13,12,13,12,31.6,7,5,0,2,0.0,6,0
3,La Liga,M,ESP,team,38,38,3420,38,27,0.71,112,88,78.6,18,16,4,17,44.7,4,3,0,1,0.0,7,0
4,La Liga,M,ESP,team,38,38,3420,38,38,1.0,119,80,73.1,25,7,6,15,39.5,7,6,1,0,14.3,10,0
5,La Liga,M,ESP,team,38,38,3418,38,60,1.58,154,95,68.2,10,11,17,6,15.8,11,11,0,0,0.0,12,0
6,La Liga,M,ESP,team,38,38,3420,38,49,1.29,149,100,70.5,7,16,15,12,31.6,5,5,0,0,0.0,19,0
7,La Liga,M,ESP,team,38,38,3420,38,56,1.47,138,81,62.3,11,9,18,11,28.9,6,4,2,0,33.3,101,0
8,La Liga,M,ESP,team,38,38,3412,38,58,1.53,163,106,68.1,5,10,23,6,15.8,7,6,1,0,14.3,29,0
9,La Liga,M,ESP,team,38,38,3420,38,37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7,34,0
10,La Liga,M,ESP,team,38,38,3420,38,45,1.18,156,110,73.7,16,8,14,13,34.2,5,4,1,0,20.0,100,0
11,La Liga,M,ESP,team,38,38,3419,38,51,1.34,138,87,67.4,8,12,18,9,23.7,7,6,1,0,14.3,98,0
12,La Liga,M,ESP,team,38,38,3420,38,53,1.39,215,161,76.7,14,7,17,6,15.8,6,3,2,1,40.0,99,0
13,La Liga,M,ESP,team,38,38,3420,38,65,1.71,190,125,73.7,9,6,23,5,13.2,16,15,1,0,6.3,54,0
14,La Liga,M,ESP,team,38,38,3418,38,54,1.42,143,89,65.7,13,13,12,11,28.9,5,5,0,0,0.0,67,0
15,La Liga,M,ESP,team,38,38,3420,38,25,0.66,110,85,79.1,26,9,3,19,50.0,2,2,0,0,0.0,71,0
16,La Liga,M,ESP,team,38,38,3420,38,48,1.26,144,96,71.5,16,8,14,9,23.7,9,7,1,1,12.5,72,0
17,La Liga,M,ESP,team,38,38,3420,38,34,0.89,117,83,73.5,19,13,6,17,44.7,4,3,1,0,25.0,80,0
18,La Liga,M,ESP,team,38,38,3420,38,53,1.39,190,136,75.8,14,11,13,8,21.1,9,7,2,0,22.2,91,0
19,La Liga,M,ESP,team,38,38,3420,38,43,1.13,139,95,74.1,9,15,14,12,31.6,8,7,1,0,12.5,92,0
20,La Liga,M,ESP,team,38,38,3420,38,49,1.29,164,116,75.0,18,6,14,12,31.6,9,8,1,0,11.1,93,0
21,La Liga,M,ESP,opponent,38,38,3420,38,34,0.89,104,70,73.1,19,9,10,14,36.8,6,6,0,0,0.0,102,0
22,La Liga,M,ESP,opponent,38,38,3420,38,41,1.08,136,94,75.7,13,12,13,13,34.2,10,8,2,0,20.0,6,0
23,La Liga,M,ESP,opponent,38,38,3419,38,51,1.34,144,92,68.8,4,16,18,9,23.7,8,6,2,0,25.0,7,0
24,La Liga,M,ESP,opponent,38,38,3420,38,86,2.26,219,135,63.5,6,7,25,6,15.8,6,6,0,0,0.0,10,0
25,La Liga,M,ESP,opponent,38,38,3420,38,48,1.26,159,110,73.6,17,11,10,10,26.3,8,6,1,1,14.3,12,0
26,La Liga,M,ESP,opponent,38,38,3420,38,37,0.97,140,100,77.9,15,16,7,14,36.8,9,6,3,0,33.3,19,0
27,La Liga,M,ESP,opponent,38,38,3420,38,39,1.03,142,101,77.5,18,9,11,15,39.5,10,7,3,0,30.0,101,0
