Wk,Day,Date,Time,HomeGoals,Home_xG,AwayGoals,Away_xG,match_id,season_id,league_id,Country,home_id,away_id,result,match_key
1,Fri,2019-08-16,21:00,1,0.5,0,0.9,0.0,0,2,ESP,6,10,1,6_2019-08-16
1,Sat,2019-08-17,17:00,1,1.6,3,2.1,1.0,0,2,ESP,19,71,2,19_2019-08-17
1,Sat,2019-08-17,19:00,1,2.3,1,1.8,2.0,0,2,ESP,91,72,x,91_2019-08-17
1,Sat,2019-08-17,20:00,2,1.6,1,0.7,3.0,0,2,ESP,54,101,1,54_2019-08-17
1,Sat,2019-08-17,21:00,0,1.4,1,0.2,4.0,0,2,ESP,98,67,2,98_2019-08-17
1,Sat,2019-08-17,21:00,4,1.9,4,1.9,5.0,0,2,ESP,93,100,x,93_2019-08-17
1,Sun,2019-08-18,17:00,1,0.5,0,1.1,6.0,0,2,ESP,102,99,1,102_2019-08-18
1,Sun,2019-08-18,19:00,0,0.2,2,1.6,7.0,0,2,ESP,29,80,2,29_2019-08-18
1,Sun,2019-08-18,21:00,1,1.5,2,0.7,8.0,0,2,ESP,12,92,2,12_2019-08-18
1,Sun,2019-08-18,22:00,1,2.2,0,0.3,9.0,0,2,ESP,7,34,1,7_2019-08-18
10,Fri,2019-10-25,21:00,4,2.5,1,0.8,10.0,0,2,ESP,93,102,1,93_2019-10-25
10,Sat,2019-10-26,16:00,1,1.7,0,0.8,11.0,0,2,ESP,98,54,1,98_2019-10-26
10,Sat,2019-10-26,18:30,2,1.7,0,0.6,12.0,0,2,ESP,92,101,1,92_2019-10-26
10,Sat,2019-10-26,21:00,2,1.5,0,0.4,13.0,0,2,ESP,7,6,1,7_2019-10-26
10,Sun,2019-10-27,12:00,0,0.9,1,0.8,14.0,0,2,ESP,19,72,2,19_2019-10-27
10,Sun,2019-10-27,14:00,1,1.6,0,0.7,15.0,0,2,ESP,100,12,1,100_2019-10-27
10,Sun,2019-10-27,16:00,0,0.3,1,1.0,16.0,0,2,ESP,99,29,2,99_2019-10-27
10,Sun,2019-10-27,18:30,2,2.0,0,0.7,17.0,0,2,ESP,80,34,1,80_2019-10-27
10,Sun,2019-10-27,21:00,3,2.8,1,0.9,18.0,0,2,ESP,67,91,1,67_2019-10-27
10,Wed,2019-12-18,20:00,0,0.9,0,0.8,19.0,0,2,ESP,10,71,x,10_2019-12-18
11,Tue,2019-10-29,19:00,1,0.6,1,1.7,20.0,0,2,ESP,102,7,x,102_2019-10-29
11,Tue,2019-10-29,21:15,5,2.7,1,1.1,21.0,0,2,ESP,10,92,1,10_2019-10-29
