id,Team_or_Opponent,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA_Expected,A_minus_xAG_Expected,KP,Final_Third,PPA,CrsPA,PrgP,team_id,season_id
1,team,10091,14116,71.5,191648,83394,4443,5283,84.1,4011,5052,79.4,1375,2889,47.6,28,32.4,30.6,-4.4,341,937,273,105,1260,102.0,4
2,team,12774,16540,77.2,228494,85956,5654,6480,87.3,5476,6405,85.5,1322,2747,48.1,25,34.2,24.6,-9.2,349,870,212,86,1097,1.0,4
3,team,14509,18724,77.5,256772,96209,6598,7600,86.8,6186,7288,84.9,1393,2832,49.2,41,37.0,40.3,4.0,355,1205,343,113,1610,6.0,4
4,team,17064,20709,82.4,282535,101502,8654,9535,90.8,6433,7422,86.7,1442,2542,56.7,48,47.4,44.0,0.6,359,1226,380,68,1597,7.0,4
5,team,21506,24761,86.9,359810,114447,10598,11481,92.3,8724,9617,90.7,1717,2604,65.9,55,57.4,57.9,-2.4,457,1702,405,83,1925,10.0,4
6,team,15310,18979,80.7,256941,94528,7398,8260,89.6,5944,6913,86.0,1383,2561,54.0,31,32.7,33.8,-1.7,368,1037,327,53,1441,12.0,4
7,team,13890,17776,78.1,235944,93057,6703,7631,87.8,5538,6545,84.6,1223,2495,49.0,35,38.2,39.1,-3.2,367,1129,293,71,1345,19.0,4
8,team,10763,14990,71.8,202974,86219,4837,5694,84.9,4144,5163,80.3,1455,3198,45.5,17,25.2,26.3,-8.2,292,899,219,106,1017,24.0,4
9,team,10713,15193,70.5,207208,83225,4641,5528,84.0,4142,5344,77.5,1625,3436,47.3,27,27.9,27.4,-0.9,324,1037,220,103,1141,34.0,4
10,team,18793,21914,85.8,318093,108506,8986,9734,92.3,7878,8692,90.6,1460,2446,59.7,64,54.0,52.4,10.0,377,1431,362,88,1685,35.0,4
11,team,12127,15976,75.9,225286,88195,5270,6031,87.4,5127,6099,84.1,1458,2965,49.2,27,31.1,30.4,-4.1,283,834,263,94,1044,100.0,4
12,team,19105,22882,83.5,298427,110392,10201,11174,91.3,7170,8097,88.6,1145,2312,49.5,23,23.3,28.2,-0.3,295,1295,271,54,1596,,4
13,team,11476,15645,73.4,218346,89351,4934,5790,85.2,4717,5815,81.1,1549,3119,49.7,27,30.8,29.1,-3.8,308,978,235,103,1174,54.0,4
14,team,12874,17335,74.3,243978,96863,5474,6420,85.3,5487,6696,81.9,1666,3277,50.8,32,28.5,31.6,3.5,301,1128,263,104,1322,67.0,4
15,team,13282,17459,76.1,240192,94205,5918,6783,87.2,5584,6657,83.9,1436,3063,46.9,12,24.6,25.3,-12.6,314,1082,255,81,1335,70.0,4
16,team,21794,24691,88.3,349864,112682,11641,12391,93.9,7949,8734,91.0,1624,2474,65.6,66,52.5,50.5,13.5,476,1701,391,59,1935,71.0,4
17,team,15263,19249,79.3,276751,93632,6489,7461,87.0,6923,8022,86.3,1553,2800,55.5,36,30.7,32.9,5.3,320,1133,246,63,1414,72.0,4
