id,Team_or_Opponent,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,team_id,season_id
1,team,13973,11911,2001,543,17,108,562,881,136,52,53,0,9612,61,278,102,0
2,team,16915,14889,1942,517,14,200,754,874,178,70,65,6,12533,84,306,6,0
3,team,17765,15735,1914,511,62,123,574,835,183,60,92,0,13595,116,283,7,0
4,team,28227,26418,1726,573,86,183,417,638,185,92,27,2,24758,83,337,10,0
5,team,19823,17676,2063,699,30,205,624,799,185,67,41,2,16182,84,337,12,0
6,team,18557,16543,1944,593,38,138,636,749,176,61,78,2,14552,70,367,19,0
7,team,15551,13381,2097,531,11,221,870,1015,189,69,101,1,10439,73,286,101,0
8,team,16363,14389,1909,543,19,146,710,800,156,59,64,6,11881,65,281,29,0
9,team,13715,11368,2241,630,27,215,833,1094,185,41,69,2,8319,106,377,34,0
10,team,14105,12058,1977,582,16,133,670,825,163,64,57,0,9810,70,306,100,0
11,team,14838,12774,1989,565,20,160,771,886,157,42,83,3,10336,75,296,98,0
12,team,16332,14321,1930,548,34,227,697,749,189,91,42,6,12415,81,335,99,0
13,team,15636,13615,1963,577,18,119,682,793,171,64,60,0,11782,58,325,54,0
14,team,15904,13788,2036,533,16,192,755,926,180,67,72,1,10959,80,316,67,0
15,team,23733,21828,1821,534,59,445,776,786,192,51,68,0,20107,84,328,71,0
16,team,20229,18172,1979,598,54,115,719,868,181,99,33,2,15989,78,376,72,0
17,team,21733,19673,1968,553,30,384,880,837,226,72,79,6,17525,92,350,80,0
18,team,18258,16284,1874,591,46,238,677,688,169,54,70,8,14490,100,257,91,0
19,team,15457,13389,1987,574,24,214,645,806,161,62,56,0,11187,81,293,92,0
20,team,20045,18098,1876,510,42,267,619,804,148,53,57,0,16218,71,290,93,0
21,opponent,20109,18001,2016,631,43,269,695,907,176,65,59,5,15671,92,329,102,0
22,opponent,18082,16006,2005,558,32,208,737,876,173,68,60,2,13649,71,316,6,0
23,opponent,19126,17114,1978,598,15,243,728,769,180,63,67,2,14900,34,343,7,0
24,opponent,14303,12675,1560,465,26,159,560,564,137,48,43,4,10889,68,276,10,0
25,opponent,15463,13476,1862,519,31,172,708,740,202,75,74,5,11625,125,273,12,0
26,opponent,17544,15616,1862,511,19,206,783,838,206,83,79,1,13456,66,329,19,0
27,opponent,18285,15925,2239,580,49,231,630,1037,189,69,63,1,13273,121,310,101,0
28,opponent,18345,16269,2005,608,40,235,646,833,169,69,50,0,13993,71,343,29,0
29,opponent,16917,14498,2276,782,39,190,505,947,132,49,48,1,11770,143,356,34,0
30,opponent,18617,16434,2108,617,36,215,724,942,181,70,69,1,14365,75,316,100,0
31,opponent,19534,17372,2094,632,23,273,636,920,153,63,49,1,15049,68,294,98,0
32,opponent,17798,15792,1920,508,36,194,854,803,219,78,87,4,13838,86,286,99,0
33,opponent,19483,17602,1827,526,32,173,737,726,177,54,70,3,15595,54,307,54,0
34,opponent,17987,15674,2193,592,52,171,666,1009,176,58,57,4,13039,120,356,67,0
35,opponent,16712,14786,1862,549,26,161,621,726,148,61,54,1,12998,64,360,71,0
36,opponent,15849,13840,1914,553,28,195,590,835,147,52,60,5,11671,95,319,72,0
37,opponent,15845,13850,1929,572,36,135,606,808,146,56,50,1,11772,66,287,80,0
38,opponent,19444,17692,1695,464,34,206,826,697,178,58,71,1,15727,57,267,91,0
39,opponent,19675,17690,1939,526,39,186,781,865,195,65,68,1,15445,46,356,92,0
40,opponent,18041,15998,1953,514,27,211,838,811,226,86,89,4,13964,90,301,93,0
1,team,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265,102,1
1,team,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265,102,-2
2,team,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377,6,1
2,team,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377,6,-2
3,team,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,7,1
3,team,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,7,-2
4,team,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,10,1
4,team,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,10,-2
5,team,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321,12,1
5,team,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321,12,-2
6,team,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,19,1
6,team,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,19,-2
7,team,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,24,1
7,team,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,24,-2
8,team,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,101,1
8,team,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,101,-2
9,team,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,27,1
9,team,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,27,-2
10,team,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,34,1
10,team,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,34,-2
11,team,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,100,1
11,team,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,100,-2
12,team,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321,103,1
12,team,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321,103,-2
13,team,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370,99,1
13,team,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370,99,-2
14,team,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281,67,1
14,team,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281,67,-2
15,team,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346,71,1
15,team,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346,71,-2
16,team,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369,72,1
16,team,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369,72,-2
17,team,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301,80,1
17,team,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301,80,-2
18,team,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297,91,1
18,team,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297,91,-2
19,team,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312,92,1
19,team,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312,92,-2
20,team,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348,93,1
20,team,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348,93,-2
21,opponent,19621,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305,102,1
21,opponent,19621,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305,102,-2
22,opponent,18320,16391,1846,532,21,242,753,768,157,46,70,1,14279,83,335,6,1
22,opponent,18320,16391,1846,532,21,242,753,768,157,46,70,1,14279,83,335,6,-2
23,opponent,19039,17189,1820,563,10,211,708,703,160,54,71,0,15160,30,354,7,1
23,opponent,19039,17189,1820,563,10,211,708,703,160,54,71,0,15160,30,354,7,-2
24,opponent,15011,13448,1515,426,20,141,514,513,140,43,57,1,11743,48,300,10,1
24,opponent,15011,13448,1515,426,20,141,514,513,140,43,57,1,11743,48,300,10,-2
25,opponent,17225,15253,1847,548,36,180,654,788,158,64,60,0,13195,125,346,12,1
25,opponent,17225,15253,1847,548,36,180,654,788,158,64,60,0,13195,125,346,12,-2
26,opponent,16949,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365,19,1
26,opponent,16949,14836,2062,658,21,196,741,924,166,66,55,0,12833,51,365,19,-2
27,opponent,23128,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349,24,1
27,opponent,23128,21256,1771,451,31,189,805,809,206,92,61,2,18990,101,349,24,-2
28,opponent,17650,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333,101,1
28,opponent,17650,15366,2156,534,38,175,545,1041,141,47,56,2,12572,128,333,101,-2
29,opponent,19231,17496,1671,535,28,149,693,692,164,43,64,1,15677,64,308,27,1
29,opponent,19231,17496,1671,535,28,149,693,692,164,43,64,1,15677,64,308,27,-2
30,opponent,18783,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356,34,1
30,opponent,18783,16642,2054,674,22,214,566,869,145,57,53,1,14007,87,356,34,-2
31,opponent,19293,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342,100,1
31,opponent,19293,17232,2008,584,22,208,764,882,185,56,79,1,15039,53,342,100,-2
32,opponent,19260,17254,1932,594,20,182,692,811,161,52,55,0,15345,74,310,103,1
32,opponent,19260,17254,1932,594,20,182,692,811,161,52,55,0,15345,74,310,103,-2
33,opponent,16963,14983,1881,533,22,162,683,790,179,62,66,1,13050,99,297,99,1
33,opponent,16963,14983,1881,533,22,162,683,790,179,62,66,1,13050,99,297,99,-2
34,opponent,20219,18086,2037,565,34,198,800,906,176,70,40,2,15379,96,296,67,1
34,opponent,20219,18086,2037,565,34,198,800,906,176,70,40,2,15379,96,296,67,-2
35,opponent,16672,14886,1747,462,21,174,637,677,152,55,64,1,13187,39,319,71,1
35,opponent,16672,14886,1747,462,21,174,637,677,152,55,64,1,13187,39,319,71,-2
36,opponent,15816,13837,1890,622,18,196,533,756,127,40,46,2,11867,89,293,72,1
36,opponent,15816,13837,1890,622,18,196,533,756,127,40,46,2,11867,89,293,72,-2
37,opponent,14857,12969,1854,536,16,156,680,723,157,59,62,2,11221,34,272,80,1
37,opponent,14857,12969,1854,536,16,156,680,723,157,59,62,2,11221,34,272,80,-2
38,opponent,18941,17081,1787,508,21,216,858,731,200,77,85,0,15047,73,300,91,1
38,opponent,18941,17081,1787,508,21,216,858,731,200,77,85,0,15047,73,300,91,-2
39,opponent,18827,16803,1954,544,21,218,775,861,194,65,71,4,14587,70,341,92,1
39,opponent,18827,16803,1954,544,21,218,775,861,194,65,71,4,14587,70,341,92,-2
40,opponent,17408,15576,1756,503,13,188,777,753,147,54,40,1,13685,76,311,93,1
40,opponent,17408,15576,1756,503,13,188,777,753,147,54,40,1,13685,76,311,93,-2
1,team,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,102,2
2,team,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,6,2
3,team,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,7,2
4,team,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,10,2
5,team,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,12,2
6,team,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,19,2
7,team,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,24,2
