id,Team_or_Opponent,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,team_id,season_id
1,team,34,307,98,31.9,8.08,2.58,0.09,0.29,16.7,11,6,6,39.3,34.7,0.12,-5.3,-6.7,102,0
2,team,40,401,126,31.4,10.55,3.32,0.08,0.25,18.8,16,8,10,41.5,33.8,0.09,-1.5,-1.8,6,0
3,team,50,440,136,30.9,11.58,3.58,0.1,0.32,17.3,14,6,8,56.8,50.6,0.12,-6.8,-6.6,7,0
4,team,84,488,213,43.6,12.84,5.61,0.16,0.37,17.4,46,6,6,66.3,61.7,0.13,17.7,16.3,10,0
5,team,48,471,152,32.3,12.39,4.0,0.09,0.28,18.4,20,6,8,51.0,45.2,0.1,-3.0,-3.2,12,0
6,team,37,359,131,36.5,9.45,3.45,0.09,0.24,18.8,23,6,9,39.2,32.4,0.09,-2.2,-1.4,19,0
7,team,38,419,132,31.5,11.03,3.47,0.07,0.23,18.9,21,7,10,42.0,34.2,0.08,-4.0,-3.2,101,0
8,team,25,407,120,29.5,10.71,3.16,0.05,0.18,19.1,20,4,4,38.6,35.6,0.09,-13.6,-14.6,29,0
9,team,42,408,121,29.7,10.74,3.18,0.09,0.3,18.6,31,6,7,41.6,36.1,0.09,0.4,-0.1,34,0
10,team,50,389,118,30.3,10.24,3.11,0.12,0.38,19.0,25,5,5,44.9,40.9,0.11,5.1,4.1,100,0
11,team,30,427,143,33.5,11.24,3.76,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9,98,0
12,team,45,422,133,31.5,11.11,3.5,0.09,0.3,19.0,21,5,5,48.1,44.2,0.11,-3.1,-4.2,99,0
13,team,39,410,118,28.8,10.79,3.11,0.08,0.26,19.2,22,8,10,41.1,33.3,0.08,-2.1,-2.3,54,0
14,team,46,455,142,31.2,11.97,3.74,0.08,0.27,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2,67,0
15,team,69,552,222,40.2,14.53,5.84,0.11,0.26,18.0,18,11,11,67.9,59.2,0.11,1.1,-1.2,71,0
16,team,54,424,139,32.8,11.16,3.66,0.12,0.36,17.7,12,4,5,48.9,45.1,0.11,5.1,4.9,72,0
17,team,53,484,164,33.9,12.74,4.32,0.1,0.28,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9,80,0
18,team,45,331,111,33.5,8.71,2.92,0.12,0.36,18.0,18,5,8,43.3,37.2,0.11,1.7,2.8,91,0
19,team,31,369,116,31.4,9.71,3.05,0.08,0.24,20.0,29,3,6,36.6,32.1,0.09,-5.6,-4.1,92,0
20,team,62,483,160,33.1,12.71,4.21,0.11,0.33,18.2,15,10,11,63.6,55.2,0.12,-1.6,-3.2,93,0
21,opponent,59,458,146,31.9,12.05,3.84,0.1,0.32,18.5,29,12,15,57.8,46.3,0.1,1.2,0.7,102,0
22,opponent,36,386,123,31.9,10.16,3.24,0.08,0.25,17.8,26,5,7,48.8,43.7,0.12,-12.8,-12.7,6,0
23,opponent,24,412,109,26.5,10.84,2.87,0.05,0.19,19.8,19,3,4,32.5,29.5,0.07,-8.5,-8.5,7,0
24,opponent,38,364,112,30.8,9.58,2.95,0.09,0.29,19.2,16,6,7,38.3,32.9,0.09,-0.3,-0.9,10,0
25,opponent,59,437,143,32.7,11.5,3.76,0.11,0.34,17.8,18,11,11,54.8,46.2,0.11,4.2,1.8,12,0
26,opponent,49,439,144,32.8,11.55,3.79,0.1,0.31,18.5,17,5,5,45.3,41.4,0.1,3.7,2.6,19,0
27,opponent,55,374,132,35.3,9.84,3.47,0.14,0.39,17.2,15,4,6,53.0,48.4,0.13,2.0,2.6,101,0
28,opponent,56,438,156,35.6,11.53,4.11,0.11,0.32,18.7,22,6,7,51.0,45.8,0.11,5.0,4.2,29,0
29,opponent,35,275,103,37.5,7.24,2.71,0.11,0.29,16.9,15,5,6,41.4,36.7,0.14,-6.4,-6.7,34,0
30,opponent,45,443,151,34.1,11.66,3.97,0.09,0.27,19.0,27,4,5,42.6,38.6,0.09,2.4,2.4,100,0
31,opponent,50,342,131,38.3,9.0,3.45,0.13,0.34,18.7,19,6,7,42.8,37.4,0.11,7.2,6.6,98,0
32,opponent,51,571,209,36.6,15.03,5.5,0.08,0.23,17.3,26,3,7,62.9,57.4,0.1,-11.9,-9.4,99,0
33,opponent,64,482,174,36.1,12.68,4.58,0.1,0.28,18.2,17,15,16,63.5,51.2,0.11,0.5,-2.2,54,0
34,opponent,54,419,138,32.9,11.03,3.63,0.12,0.36,17.9,26,5,5,49.4,45.5,0.11,4.6,3.5,67,0
35,opponent,25,335,108,32.2,8.82,2.84,0.07,0.21,18.1,12,2,2,33.3,31.7,0.1,-8.3,-8.7,71,0
36,opponent,47,385,136,35.3,10.13,3.58,0.1,0.29,18.2,13,7,9,43.0,36.0,0.1,4.0,4.0,72,0
37,opponent,33,384,113,29.4,10.11,2.97,0.08,0.27,19.7,31,3,4,36.1,33.0,0.09,-3.1,-3.0,80,0
38,opponent,52,563,181,32.1,14.82,4.76,0.08,0.25,18.5,37,7,9,56.0,49.1,0.09,-4.0,-4.1,91,0
39,opponent,43,465,131,28.2,12.24,3.45,0.08,0.27,18.7,22,7,8,54.5,48.4,0.11,-11.5,-12.4,92,0
40,opponent,47,474,155,32.7,12.47,4.08,0.08,0.25,18.4,23,8,9,46.3,39.3,0.09,0.7,-0.3,93,0
1,team,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,102,1
1,team,35,339,95,28.0,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,102,-2
2,team,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2,6,1
2,team,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2,6,-2
3,team,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,7,1
3,team,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8,7,-2
4,team,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9,10,1
